id,lat,lon,placeCount,place,address
301,15.107021542529525,102.77675410379732,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Talat Sai, Amphoe Chum Phuang, Chang Wat Nakhon Ratchasima 30270, Thailand"
305,15.107021542529525,103.14006769588457,2,establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road, Tambon Ban Dan, Amphoe Ban Dan, Chang Wat Buri Ram 31000, Thailand"
306,15.107021542529525,103.16801489527586,23,establishment|point_of_interest|hospital,"DPT., Tambon Ban Dan, Amphoe Ban Dan, Chang Wat Buri Ram 31000, Thailand"
307,15.107021542529525,103.22390929405844,2,school|establishment|point_of_interest,"บ้าน ตลาด, ตำบล ปราสาท อำเภอ บ้านด่าน บุรีรัมย์ 31000, Thailand"
308,15.107021542529525,103.47543408858053,4,school|establishment|point_of_interest,"สร.4026 Tambon Ka Ko, Amphoe Mueang Surin, Chang Wat Surin 32000, Thailand"
309,15.107021542529525,103.50338128797182,1,local_government_office|establishment|point_of_interest,"Unnamed Road, Tambon Ka Ko, Amphoe Mueang Surin, Chang Wat Surin 32000, Thailand"
310,15.080041895154137,102.58110417211469,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Lung Pradu, Amphoe Huai Thalaeng, Chang Wat Nakhon Ratchasima 30240, Thailand"
314,15.080041895154137,103.16792076077456,5,school|establishment|point_of_interest,"219, Tambon Ban Dan, Amphoe Ban Dan, Chang Wat Buri Ram 31000, Thailand"
316,15.080041895154137,103.47530087864402,11,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Phia Ram, Amphoe Mueang Surin, Chang Wat Surin 32000, Thailand"
319,15.053062247778543,102.49726436961362,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Hin Khon, Amphoe Chakkarat, Chang Wat Nakhon Ratchasima 30230, Thailand"
327,15.053062247778543,103.27958722180972,2,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Mueang Pho, Amphoe Huai Rat, Chang Wat Buri Ram 31000, Thailand"
328,15.053062247778543,103.36340752740216,5,establishment|point_of_interest|hospital,"บร.5062 Tambon Huai Samran, Amphoe Krasang, Chang Wat Buri Ram 31160, Thailand"
329,15.026082600402745,102.52519208982358,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Hin Dat, Amphoe Huai Thalaeng, Chang Wat Nakhon Ratchasima 30240, Thailand"
334,15.026082600402745,103.27947931086533,2,pharmacy|health|establishment|store|point_of_interest,"Unnamed Road, Amphoe Huai Rat, Chang Wat Buri Ram, Thailand"
